idx,k0,M,response_err
192,-1,8,0.24372783484142013
193,3,8,0.24725101757371573
194,4,8,0.314049473873597
195,4,8,0.28198571264928823
196,-2,8,0.21198044460739993
197,2,8,0.2492524204843259
198,-2,8,0.22197930592031648
199,-1,8,0.18555361913029586
0,4,12,0.2697144364490328
1,2,12,0.2639882969940861
2,-3,12,0.2109892833388004
3,-2,12,0.20550056776655887
4,-3,12,0.2525848124772797
5,3,12,0.25309791541674864
6,0,12,0.10460666997254002
7,4,12,0.28364729769686314
8,-4,12,0.279396149348924
9,3,12,0.18467264456855345
10,0,12,0.13143898177768365
11,-2,12,0.19648419334689501
12,4,12,0.35986693438975065
13,0,12,0.1362199004373826
14,-1,12,0.24358791957412612
15,0,12,0.1394320729244459
16,1,12,0.18970061427838236
17,-1,12,0.1977596653907415
18,-2,12,0.20669490748947386
19,-4,12,0.3040650695039508
20,-3,12,0.15225073828084582
21,2,12,0.22285296416888128
22,1,12,0.20925994486345464
23,1,12,0.1939867684879238
24,0,12,0.11528579464539143
25,3,12,0.25014185858831556
26,3,12,0.36268340617320394
27,1,12,0.1994725729172157
28,3,12,0.2685734456311025
29,3,12,0.21481125154856054
30,0,12,0.18807571595925812
31,2,12,0.18746185905389331
32,-2,12,0.16436113320234383
33,4,12,0.237129650757877
34,4,12,0.2789943453109349
35,2,12,0.24549297918399407
36,-2,12,0.18142157583289428
37,1,12,0.2504369230494672
38,-2,12,0.19878567689359236
39,4,12,0.2625583478524232
40,0,12,0.13791939669664907
41,0,12,0.11227147846287795
42,2,12,0.23805936844138073
43,1,12,0.1780304934091397
44,-4,12,0.26190996176897147
45,4,12,0.2263879136886516
46,1,12,0.21163860211938867
47,-3,12,0.185991921577182
48,-4,12,0.3211200280352773
49,0,12,0.1881170701330036
50,-1,12,0.3256181886989254
51,0,12,0.10638547761852894
52,4,12,0.3233759143191566
53,0,12,0.13644557887756267
54,4,12,0.2320974284612579
55,-1,12,0.1206261204966282
56,3,12,0.24893118791279936
57,-3,12,0.28601592358558625
58,4,12,0.33533863035367945
59,1,12,0.26040537880417314
60,4,12,0.2325000034395504
61,3,12,0.23492259637915325
62,-1,12,0.2352144154081035
63,2,12,0.2596330149004133
64,1,12,0.2528366650728906
65,4,12,0.2526782064687751
66,0,12,0.13874753833792686
67,3,12,0.168546537837417
68,-1,12,0.2017611762161357
69,1,12,0.24687095527357478
70,-2,12,0.21616018308000592
71,-4,12,0.32477137775626524
72,0,12,0.12759683179953668
73,3,12,0.21794894201245468
74,1,12,0.13827258852347332
75,3,12,0.2428136271631929
76,4,12,0.25669881263353267
77,-3,12,0.20015475480301703
78,-4,12,0.3400182149343932
79,4,12,0.23895481508625918
80,-4,12,0.21681155958804613
81,-4,12,0.2889388110448556
82,0,12,0.1282643386250776
83,3,12,0.279030768452879
84,1,12,0.15792760575544557
85,-3,12,0.25122588365464693
86,3,12,0.2292643553160488
87,4,12,0.2328898607301687
88,-4,12,0.276664623662456
89,3,12,0.21235537115212044
90,-3,12,0.21223163070864903
91,-2,12,0.22888374955086455
92,4,12,0.23855785974697963
93,-3,12,0.21787390388357172
94,3,12,0.18451984232580346
95,3,12,0.25538294844749054
96,-4,12,0.22344958958235037
97,3,12,0.21917531436229798
98,1,12,0.18166376398451428
99,0,12,0.16412460443346638
100,3,12,0.23104557229335976
101,3,12,0.20786220396278662
102,3,12,0.21913056616106108
103,4,12,0.2906192169789731
104,1,12,0.2582362595844499
105,4,12,0.28869378497465475
106,4,12,0.285406599810551
107,3,12,0.20567498814218954
108,-1,12,0.20489957735923256
109,-1,12,0.33989709730640033
110,1,12,0.24579113170146588
111,3,12,0.2004892746087793
112,-4,12,0.29421873782334224
113,4,12,0.2526199792177553
114,2,12,0.2524582525508526
115,0,12,0.0964987677044838
116,3,12,0.2103010710778472
117,0,12,0.15096701135045454
118,0,12,0.11651581237001815
119,-3,12,0.240978440296664
120,1,12,0.291824045956617
121,-1,12,0.24521748819232983
122,1,12,0.2971186710096527
123,3,12,0.2095650442164915
124,4,12,0.2592917731553299
125,-1,12,0.20502031563105713
126,-2,12,0.17859608549694722
127,4,12,0.27923753959800035
128,-3,12,0.2269798484642444
129,2,12,0.2166963825947593
130,-3,12,0.2659498866192324
131,-1,12,0.20650665312574276
132,-2,12,0.1993201332885154
133,3,12,0.24051978152986275
134,-1,12,0.2128648455245977
135,0,12,0.161964142910569
136,3,12,0.20732201809038614
137,-1,12,0.15680553563987296
138,-1,12,0.11855458910064087
139,-2,12,0.17047478119802692
140,0,12,0.1088844774901822
141,-3,12,0.22981888604921902
142,-3,12,0.22047149935858493
143,-4,12,0.2686151870708727
144,1,12,0.2719218466067631
145,-1,12,0.17366813748457605
146,0,12,0.20128080581943802
147,-1,12,0.17749692701962735
148,-2,12,0.15514460161133847
149,0,12,0.12568887195399486
150,-1,12,0.2289295975945711
151,-1,12,0.2917786692428793
152,1,12,0.2598300033933045
153,1,12,0.2210300329519658
154,-1,12,0.2087797825439674
155,0,12,0.14302007170205186
156,-1,12,0.21250335644418297
157,2,12,0.22800292786658424
158,3,12,0.2413591761802586
159,2,12,0.25303784393271167
160,4,12,0.23553247529277588
161,2,12,0.2542152391181899
162,2,12,0.24845822223419908
