idx,k0,seed,M,arm,response_err
10,0,2,8,clip,0.6527539885739524
10,0,2,12,retrain,0.15244209252085378
10,0,2,12,clip,0.5980607292019844
10,0,2,16,retrain,0.5575295065707025
10,0,2,16,clip,0.5575295065707025
11,-2,0,2,retrain,1.038927507611679
11,-2,0,2,clip,1.055904054125793
11,-2,0,4,retrain,0.5829675848293128
11,-2,0,4,clip,0.93175054430203
11,-2,0,8,retrain,0.23965368332534762
11,-2,0,8,clip,0.6764516298519769
11,-2,0,12,retrain,0.20964662397788209
11,-2,0,12,clip,0.6134257675368785
11,-2,0,16,retrain,0.5760569575445758
11,-2,0,16,clip,0.5760569575445758
11,-2,1,2,retrain,0.9835701375892089
11,-2,1,2,clip,1.0981886431592316
11,-2,1,4,retrain,0.5187597615629025
11,-2,1,4,clip,0.9816792638505979
11,-2,1,8,retrain,0.2683509637062498
11,-2,1,8,clip,0.7192889666014225
11,-2,1,12,retrain,0.3144838217316134
11,-2,1,12,clip,0.6644337136948809
11,-2,1,16,retrain,0.6244157433399469
11,-2,1,16,clip,0.6244157433399469
11,-2,2,2,retrain,0.9973468218639562
11,-2,2,2,clip,1.0961980129043984
11,-2,2,4,retrain,0.5509099455352061
11,-2,2,4,clip,0.9784275988616081
11,-2,2,8,retrain,0.21276879398588608
11,-2,2,8,clip,0.7087701410236968
11,-2,2,12,retrain,0.2352913339397626
11,-2,2,12,clip,0.6454067184872949
11,-2,2,16,retrain,0.6070222224930187
11,-2,2,16,clip,0.6070222224930187
12,4,0,2,retrain,1.026204079424561
12,4,0,2,clip,1.1406268819785432
12,4,0,4,retrain,0.7049479232753264
12,4,0,4,clip,1.1428096479192038
12,4,0,8,retrain,0.43628820872204216
12,4,0,8,clip,0.7541779581786875
12,4,0,12,retrain,0.4026264267900726
12,4,0,12,clip,0.6175816296031592
12,4,0,16,retrain,0.565467692701493
12,4,0,16,clip,0.565467692701493
12,4,1,2,retrain,0.9907488721376894
12,4,1,2,clip,1.1775520024582697
12,4,1,4,retrain,0.7343965817307121
12,4,1,4,clip,1.1419495954030665
12,4,1,8,retrain,0.396653591760582
12,4,1,8,clip,0.6791211906518867
12,4,1,12,retrain,0.3812414987360824
12,4,1,12,clip,0.5382715400995081
12,4,1,16,retrain,0.4883880024895476
12,4,1,16,clip,0.4883880024895476
12,4,2,2,retrain,1.04226381909205
12,4,2,2,clip,1.151842783627841
12,4,2,4,retrain,0.7122185832912897
12,4,2,4,clip,1.1496555247619036
12,4,2,8,retrain,0.4271101889954562
12,4,2,8,clip,0.7199497950256685
12,4,2,12,retrain,0.4007239765894197
12,4,2,12,clip,0.5891924521164952
12,4,2,16,retrain,0.5310524337242889
12,4,2,16,clip,0.5310524337242889
13,0,0,2,retrain,0.9721957541767509
13,0,0,2,clip,1.0464931839862495
13,0,0,4,retrain,0.49701597140404347
13,0,0,4,clip,0.9097120649722034
13,0,0,8,retrain,0.208328136358422
13,0,0,8,clip,0.7323050805115946
13,0,0,12,retrain,0.2194410399609353
13,0,0,12,clip,0.6775764353365471
13,0,0,16,retrain,0.6389169386685492
13,0,0,16,clip,0.6389169386685492
13,0,1,2,retrain,0.8925464703915419
13,0,1,2,clip,1.0754269409015513
13,0,1,4,retrain,0.4441870204073926
13,0,1,4,clip,0.9127923406575066
13,0,1,8,retrain,0.17086429633735092
13,0,1,8,clip,0.7243326628638898
13,0,1,12,retrain,0.2611494912635986
13,0,1,12,clip,0.6676046436543654
13,0,1,16,retrain,0.6269064536879639
13,0,1,16,clip,0.6269064536879639
13,0,2,2,retrain,0.9227450959320083
13,0,2,2,clip,1.026499826044999
13,0,2,4,retrain,0.48223090482911873
13,0,2,4,clip,0.8911760481599468
13,0,2,8,retrain,0.20691046767472587
13,0,2,8,clip,0.7075385328819896
13,0,2,12,retrain,0.18884198914043193
13,0,2,12,clip,0.6510573212257921
13,0,2,16,retrain,0.6127083677701817
13,0,2,16,clip,0.6127083677701817
14,-1,0,2,retrain,1.1499078198367867
14,-1,0,2,clip,1.0646616512680322
14,-1,0,4,retrain,0.504616112742528
14,-1,0,4,clip,0.9397257765855267
14,-1,0,8,retrain,0.19321844362523485
14,-1,0,8,clip,0.7035394375628821
14,-1,0,12,retrain,0.19755131562802275
14,-1,0,12,clip,0.6471306857009352
