idx,k0,M,response_err
155,0,2,0.9887157177869764
155,0,4,0.7905298129500007
155,0,8,0.6356394495675507
155,0,12,0.5975681320558813
155,0,16,0.5630438691920427
156,-1,2,1.0910869820453306
156,-1,4,0.9051061154840525
156,-1,8,0.692872105754515
156,-1,12,0.6419361100421844
156,-1,16,0.5984155662081251
157,2,2,1.0670684461337248
157,2,4,0.9749551239573114
157,2,8,0.7577936412321084
157,2,12,0.6634982016287461
157,2,16,0.6116401821866326
158,3,2,1.1050515090593902
158,3,4,1.0112719361149562
158,3,8,0.6868232009896635
158,3,12,0.5989784307952998
158,3,16,0.5573036899544209
159,2,2,1.0268274299553841
159,2,4,0.9153543011334534
159,2,8,0.6656277184541931
159,2,12,0.5931667142846744
159,2,16,0.551593983816414
160,4,2,1.1173474409653346
160,4,4,1.0851709769272861
160,4,8,0.6259163292661081
160,4,12,0.49731946042736047
160,4,16,0.4388725506684392
161,2,2,1.018109754777986
161,2,4,0.8693632373061309
161,2,8,0.6782335440847723
161,2,12,0.6233602967541609
161,2,16,0.5891605111053624
162,2,2,1.0719677213184113
162,2,4,0.953791340311199
162,2,8,0.6878215331405766
162,2,12,0.6054354289622617
162,2,16,0.5632610387230798
163,2,2,0.9453873661500993
163,2,4,0.8103206273454193
163,2,8,0.5150856315847134
163,2,12,0.44665567460160305
163,2,16,0.4155676267423687
164,1,2,1.018928496110302
164,1,4,0.9036802896526646
164,1,8,0.7710274357989082
164,1,12,0.7310441756022787
164,1,16,0.6924093180626769
165,3,2,1.069563835750896
165,3,4,0.9920415498236702
165,3,8,0.6172467585500017
165,3,12,0.5102731551095296
165,3,16,0.47089254576244155
166,-4,2,1.0956359940360805
166,-4,4,1.0098389263903496
166,-4,8,0.614187297711321
166,-4,12,0.4743671924404947
166,-4,16,0.39810712045737506
167,3,2,1.0829445173116212
167,3,4,0.9815371054614848
167,3,8,0.6596282768415778
167,3,12,0.572326018149326
167,3,16,0.5342830635047835
168,-4,2,1.1040400599012248
168,-4,4,1.0516681931447167
168,-4,8,0.6157622515226835
168,-4,12,0.4724806259222374
168,-4,16,0.40280158646475406
169,-4,2,1.0914944584631823
169,-4,4,1.004210966925257
169,-4,8,0.5708442791465104
169,-4,12,0.40638607838550456
169,-4,16,0.3628843915452837
170,2,2,1.0849862612416568
170,2,4,1.0380647487070493
170,2,8,0.7870957740391084
170,2,12,0.7063137755766377
170,2,16,0.658952549387405
171,-4,2,1.0850185441502525
171,-4,4,1.0053644553919365
171,-4,8,0.6222999657635547
171,-4,12,0.4816756441125692
171,-4,16,0.4206974504144871
172,-4,2,1.1315743155505458
172,-4,4,1.0631941310301927
172,-4,8,0.6512029698063775
172,-4,12,0.5173358321680392
172,-4,16,0.4554481992583072
173,3,2,1.0910022260916716
173,3,4,1.023531929833506
173,3,8,0.6815555065397748
173,3,12,0.5944320703391014
173,3,16,0.5458081957921475
174,3,2,1.0943813698122817
174,3,4,1.0101626599174875
174,3,8,0.6612705415027954
174,3,12,0.5639280616743497
174,3,16,0.524128287035983
175,2,2,1.0515370255712746
175,2,4,0.9049687164476913
175,2,8,0.6565848235878992
175,2,12,0.5878666780765684
175,2,16,0.5544798972548198
176,-2,2,1.1027286496314115
176,-2,4,0.9828826614162418
176,-2,8,0.7447223690448053
176,-2,12,0.6709414422816073
176,-2,16,0.6238761351221377
177,-4,2,1.1072504335974807
177,-4,4,1.0553559386353224
177,-4,8,0.598936884903558
177,-4,12,0.4258901537763199
177,-4,16,0.3672841189310682
178,4,2,1.106900958043677
178,4,4,1.0482452292848081
178,4,8,0.6329522663470939
178,4,12,0.46761919587975415
178,4,16,0.40032748827180653
179,2,2,1.0422610852631684
179,2,4,0.9436618725651681
179,2,8,0.683841724087967
179,2,12,0.6055109423286299
179,2,16,0.5681484910348663
180,4,2,1.1077360078813892
180,4,4,1.0672505044929999
180,4,8,0.5855697517994954
180,4,12,0.44188451515157984
180,4,16,0.3885488593225971
181,1,2,1.0517324974145983
181,1,4,0.8971355273511111
181,1,8,0.7777532226516831
181,1,12,0.7318257679593184
181,1,16,0.6920198718575458
182,3,2,1.034476495281842
182,3,4,0.9363164053436451
182,3,8,0.667101890818143
