M,seed,idx,k0,response_err
12,3,17,-1,0.13355016479782106
12,3,18,-2,0.20220991602632177
12,3,19,-4,0.2961631481411286
12,3,20,-3,0.15705360204273883
12,3,21,2,0.1717447902139305
12,3,22,1,0.18973160580562456
12,3,23,1,0.16388327912755074
12,3,24,0,0.10895353294415616
12,3,25,3,0.20438025837357707
12,3,26,3,0.2945271165830188
12,3,27,1,0.19948439252816366
12,3,28,3,0.24115062258996806
12,3,29,3,0.21218847895162127
12,3,30,0,0.18615449573374454
12,3,31,2,0.16725276940091433
12,3,32,-2,0.1419785173061238
12,3,33,4,0.20599964950348695
12,3,34,4,0.254900244254612
12,3,35,2,0.21691346460075675
12,3,36,-2,0.13756053066494855
12,3,37,1,0.19789435031633573
12,3,38,-2,0.19391765378001763
12,3,39,4,0.24551536590889472
12,3,40,0,0.14648826454013505
12,3,41,0,0.11488720432971941
12,3,42,2,0.18170366173008573
12,3,43,1,0.18954332653374334
12,3,44,-4,0.2390358585292076
12,3,45,4,0.20882396689715668
12,3,46,1,0.19012279138897983
12,3,47,-3,0.14473215322599112
12,3,48,-4,0.28680321049464724
12,3,49,0,0.17103214239004128
12,3,50,-1,0.24326830794306487
12,3,51,0,0.11368352210731941
12,3,52,4,0.305901098054178
12,3,53,0,0.13719977065470992
12,3,54,4,0.20501613538900643
12,3,55,-1,0.14302279901486264
12,3,56,3,0.19445308889271687
12,3,57,-3,0.27832777850750945
12,3,58,4,0.3162016896126538
12,3,59,1,0.19146364249573627
12,3,60,4,0.19319562736857682
12,3,61,3,0.21554829114685858
12,3,62,-1,0.18009508947324196
12,3,63,2,0.19519060256703422
12,3,64,1,0.19822528551639224
12,3,65,4,0.24836682083568276
12,3,66,0,0.1290617509368911
12,3,67,3,0.1721564998951229
12,3,68,-1,0.20780658048965595
12,3,69,1,0.21705424784455177
12,3,70,-2,0.19481479939049667
12,3,71,-4,0.3138105705940106
12,3,72,0,0.11226086738156417
12,3,73,3,0.1940876987341622
12,3,74,1,0.13447610430507662
12,3,75,3,0.20817336215419538
12,3,76,4,0.2385005558867299
12,3,77,-3,0.19416409038701227
12,3,78,-4,0.31709892035293524
12,3,79,4,0.22823663947117964
12,3,80,-4,0.1999841337017646
12,3,81,-4,0.2723822525063394
12,3,82,0,0.11952349655347097
12,3,83,3,0.23747385773890284
12,3,84,1,0.1681963501364497
12,3,85,-3,0.2518240417034105
12,3,86,3,0.19729848932958408
12,3,87,4,0.21164754456091264
12,3,88,-4,0.2613766580769632
12,3,89,3,0.21577431577847964
12,3,90,-3,0.1950230774811549
12,3,91,-2,0.22894666398053265
12,3,92,4,0.2173705378775364
12,3,93,-3,0.23116749220892988
12,3,94,3,0.15898850511776028
12,3,95,3,0.1908503581306408
12,3,96,-4,0.23921787602839212
12,3,97,3,0.19527539655730286
12,3,98,1,0.16421947254679375
12,3,99,0,0.13219432909391077
12,3,100,3,0.19759962562328662
12,3,101,3,0.19820708282111288
12,3,102,3,0.2105762256082435
12,3,103,4,0.2563911196374473
12,3,104,1,0.19765566224396566
12,3,105,4,0.2605116511296978
12,3,106,4,0.2822478348853663
12,3,107,3,0.19611761737834124
12,3,108,-1,0.17161207870563
12,3,109,-1,0.2487882514599242
12,3,110,1,0.15152513018527317
12,3,111,3,0.18162249471189149
12,3,112,-4,0.28396716333950256
12,3,113,4,0.24533903452966907
12,3,114,2,0.20156881620872846
12,3,115,0,0.09674046974550184
12,3,116,3,0.1875587969968722
12,3,117,0,0.13682422962450147
12,3,118,0,0.10831220151843977
12,3,119,-3,0.23046804046254904
12,3,120,1,0.20913455611069873
12,3,121,-1,0.22491254855507303
12,3,122,1,0.24217208793427178
12,3,123,3,0.17119724114530716
12,3,124,4,0.240432112171089
12,3,125,-1,0.17800515573676748
12,3,126,-2,0.1519302188515041
12,3,127,4,0.2593384684721143
12,3,128,-3,0.21812616587270847
12,3,129,2,0.18592098832963316
12,3,130,-3,0.22392535663504787
12,3,131,-1,0.1557895292112725
12,3,132,-2,0.16493813816102332
12,3,133,3,0.22023753308246602
12,3,134,-1,0.22369175840262404
12,3,135,0,0.15089418985803804
12,3,136,3,0.200393029706862
12,3,137,-1,0.13564667936733082
12,3,138,-1,0.1392494274754046
12,3,139,-2,0.15113210378159242
12,3,140,0,0.09515333157239617
12,3,141,-3,0.2191829825026439
12,3,142,-3,0.22769241147486252
12,3,143,-4,0.2609497476534332
12,3,144,1,0.22555916403639414
12,3,145,-1,0.13805344482205656
12,3,146,0,0.18582773225627688
12,3,147,-1,0.1711154867903111
12,3,148,-2,0.14930394380607628
12,3,149,0,0.11337718987585427
12,3,150,-1,0.22042295414508323
12,3,151,-1,0.242092104925357
12,3,152,1,0.22248906205166533
