idx,k0,response_err,num,den,seconds
48,-4,0.4233842352420851,0.2080459601253381,0.4913880650430462,0.187
49,0,0.41647353861202285,0.22302819232867252,0.5355158771238056,0.192
50,-1,0.698949596455365,0.3749095946578985,0.5363900294945521,0.216
51,0,0.47482949495043797,0.2520665364722372,0.5308569479209533,0.226
52,4,0.500452457436421,0.248237301974963,0.4960257428778833,0.179
53,0,0.42994849224373427,0.22874448476716386,0.5320276472501048,0.178
54,4,0.4632479406792144,0.240416430605255,0.5189800309802917,0.171
55,-1,0.5149765941619237,0.2738768332853119,0.5318238467342791,0.185
56,3,0.491610811641071,0.25648568661367,0.5217250730460588,0.192
57,-3,0.5301939505352926,0.2682971311003842,0.5060358210981226,0.188
58,4,0.5250851757894722,0.2578623256556889,0.4910866608793319,0.183
59,1,0.6873124903819215,0.3662573470028954,0.532883298540633,0.195
60,4,0.45918254854785506,0.23758014492498275,0.5173980275956037,0.213
61,3,0.4223585671739832,0.21481668587786557,0.5086121191176776,0.190
62,-1,0.5799882693834013,0.31009233222235333,0.5346527655671718,0.208
63,2,0.5666571522245115,0.3016788952809765,0.5323834599046061,0.189
64,1,0.6862672367436867,0.3680206400753082,0.536264330236065,0.187
65,4,0.39869585319807643,0.19694243935280803,0.4939666108214195,0.186
66,0,0.44065807839563714,0.23460987601846106,0.5324079768891034,0.186
67,3,0.4899903926694918,0.26125802260122377,0.5331900921115559,0.190
68,-1,0.6554457938713018,0.3524447595210914,0.5377176309873379,0.190
69,1,0.5310258875790755,0.2747248251722214,0.5173473301361639,0.186
70,-2,0.49746039913730355,0.26682708520628684,0.536378545245046,0.187
71,-4,0.4740007782009798,0.23396252253009708,0.4935910093187553,0.188
72,0,0.5251686054239202,0.2806820532859339,0.534460838646981,0.187
73,3,0.5306503037356782,0.27882796286749145,0.525445780214569,0.187
74,1,0.4531015477702735,0.241923535275914,0.5339278500954744,0.190
75,3,0.47054521811829325,0.24438804696453162,0.5193720763794765,0.198
